ANT1,-17.78,-12.70,180.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,8.05,6.22,270.00,12pF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C1-EP-DR,14.67,9.78,90.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C10,-1.27,7.87,270.00,N.C.,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C11,7.24,3.20,179.80,100pF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C12,4.83,5.71,90.00,100nF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C13,3.50,5.74,90.00,N.C.,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C14,-4.96,7.49,270.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C15,1.80,5.42,270.00,1.0uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C16,0.43,5.31,270.00,47nF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C17,-5.08,2.79,180.00,12pF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C18,-4.32,-4.19,270.00,12pF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C19,11.81,-2.92,180.00,100nF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C2,6.48,6.10,90.00,12pF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C2-EP-DR,11.56,9.40,0.00,4.7uF/25V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C20,-0.76,-6.35,90.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C21,-2.79,-6.22,90.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C22,-13.08,-11.13,270.00,N.C.,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C23,9.53,4.95,270.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,15.49,0.64,0.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C25,10.74,7.49,0.00,22uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C27,-13.08,14.10,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,13.59,-17.91,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,7.49,1.90,179.10,1pF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C30,-14.48,-17.78,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,-3.26,-17.91,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,3.68,-12.95,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,14.35,6.48,90.00,22uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C34,5.97,-11.30,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,-14.61,14.22,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,-18.41,10.92,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,-18.41,8.06,90.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C4,-14.36,-11.10,270.00,1pF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C42,3.56,13.72,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,3.68,10.92,90.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C5,-5.21,4.70,0.00,100nF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C6,-3.30,6.99,270.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C7,1.78,-6.22,90.00,100nF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C8,3.30,-6.22,90.00,100nF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C9,7.37,-0.79,180.00,820pF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
D2,7.11,10.54,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,-10.29,10.29,0.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,6.73,14.22,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,11.36,13.37,90.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,-9.65,2.79,180.00,1uF/50V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C10,-9.65,-5.33,180.00,1uF/50V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C11,-9.65,-6.48,180.00,1uF/50V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C12,-9.91,-7.87,180.00,1uF/50V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C2,-9.65,4.32,180.00,1uF/50V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
